age,Personalized_Recommendation_Frequency,Customer_Reviews_Importance,Personalized_Recommendation_Frequency ,Rating_Accuracy ,Shopping_Satisfaction,Purchase_Categories_Beauty and Personal Care,Purchase_Categories_Clothing and Fashion,Purchase_Categories_Groceries and Gourmet Food,Purchase_Categories_others,Purchase_Categories_Home and Kitchen,Day_sin,Day_cos,Hour_sin,Hour_cos,Gender_Female,Gender_Male,Gender_Others,Gender_Prefer not to say,Purchase_Frequency_Few times a month,Purchase_Frequency_Less than once a month,Purchase_Frequency_Multiple times a week,Purchase_Frequency_Once a month,Purchase_Frequency_Once a week,Browsing_Frequency_Few times a month,Browsing_Frequency_Few times a week,Browsing_Frequency_Multiple times a day,Browsing_Frequency_Rarely,Product_Search_Method_Filter,Product_Search_Method_Keyword,Product_Search_Method_categories,Product_Search_Method_others,Search_Result_Exploration_First page,Search_Result_Exploration_Multiple pages,Add_to_Cart_Browsing_Maybe,Add_to_Cart_Browsing_No,Add_to_Cart_Browsing_Yes,Cart_Completion_Frequency_Always,Cart_Completion_Frequency_Never,Cart_Completion_Frequency_Often,Cart_Completion_Frequency_Rarely,Cart_Completion_Frequency_Sometimes,Cart_Abandonment_Factors_Changed my mind or no longer need the item,Cart_Abandonment_Factors_Found a better price elsewhere,Cart_Abandonment_Factors_High shipping costs,Cart_Abandonment_Factors_others,Saveforlater_Frequency_Always,Saveforlater_Frequency_Never,Saveforlater_Frequency_Often,Saveforlater_Frequency_Rarely,Saveforlater_Frequency_Sometimes,Review_Left_No,Review_Left_Yes,Review_Reliability_Heavily,Review_Reliability_Moderately,Review_Reliability_Never,Review_Reliability_Occasionally,Review_Reliability_Rarely,Review_Helpfulness_No,Review_Helpfulness_Sometimes,Review_Helpfulness_Yes,Recommendation_Helpfulness_No,Recommendation_Helpfulness_Sometimes,Recommendation_Helpfulness_Yes,Service_Appreciation_Competitive prices,Service_Appreciation_Product recommendations,Service_Appreciation_User-friendly website/app interface,Service_Appreciation_Wide product selection,Service_Appreciation_other,Improvement_Areas_Customer service responsiveness,Improvement_Areas_Product quality and accuracy,Improvement_Areas_Reducing packaging waste,Improvement_Areas_Shipping speed and reliability,Improvement_Areas_other,Cluster,PCA1,PCA2
-0.7649333194918324,2.0,0.0,2,0.0,0.0,1,0,0,0,0,0.7431448254773941,0.6691306063588582,-0.2588190451025208,-0.9659258262890683,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,2,-2.844266827983369,0.04020129851526244
-0.7649333194918324,2.0,0.0,2,2.0,1.0,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.4999999999999997,-0.8660254037844388,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2,-1.8461950310157853,1.6510240523782505
-0.6667478486316868,0.0,1.0,4,2.0,2.0,0,1,1,0,0,0.7431448254773941,0.6691306063588582,-0.9659258262890683,-0.25881904510252063,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0,0.5298826793989818,1.4810538367673047
-0.6667478486316868,1.0,4.0,3,2.0,3.0,1,1,0,1,0,0.7431448254773941,0.6691306063588582,-0.9659258262890683,-0.25881904510252063,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0,2.1552658165604615,0.5823155228839593
-0.863118790351978,2.0,0.0,4,1.0,1.0,1,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.9659258262890683,-0.25881904510252063,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,2,-1.3202572918398439,2.010718435425017
-0.9613042612121236,0.0,0.0,5,4.0,1.0,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-1.0,-1.8369701987210297e-16,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0.45473460510867586,3.559907616824012
-0.863118790351978,0.0,0.0,3,2.0,2.0,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-1.0,-1.8369701987210297e-16,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,2,-0.7956178449131116,2.4998677487013383
-0.9613042612121236,0.0,0.0,3,0.0,2.0,1,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.9659258262890684,0.2588190451025203,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,2,-1.3820149733854679,1.5206580030153711
-1.0594897320722692,1.0,0.0,2,1.0,1.0,1,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.9659258262890684,0.2588190451025203,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,2,-2.1328235522697567,1.3133668623374217
-0.7649333194918324,0.0,0.0,3,2.0,3.0,1,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.9659258262890684,0.2588190451025203,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,2,-0.5419602415221012,2.813988287768583
-0.863118790351978,0.0,0.0,3,2.0,1.0,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.9659258262890684,0.2588190451025203,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,2,-0.8290696521275133,1.682019448062374
-0.5685623777715411,0.0,0.0,3,2.0,0.0,1,1,0,0,1,0.7431448254773941,0.6691306063588582,-0.9659258262890684,0.2588190451025203,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,2,-1.974817713403768,1.5236389751675252
-0.7649333194918324,0.0,0.0,2,2.0,1.0,1,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,2,-1.1786492769313797,1.1343373714681402
-0.6667478486316868,0.0,0.0,2,1.0,1.0,0,1,0,0,1,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,2,-2.405817545148807,1.1364844291275842
-0.9613042612121236,2.0,0.0,5,2.0,0.0,1,0,0,0,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,2,-0.989052261223831,2.304193761044833
-0.7649333194918324,0.0,0.0,3,2.0,2.0,0,0,0,1,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,2,-0.24126512893743393,1.9572499909241774
-1.4522316155128518,1.0,0.0,3,2.0,1.0,0,1,0,1,0,0.7431448254773941,0.6691306063588582,-0.8660254037844386,0.5000000000000001,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,2,-1.3487141294496052,2.440802785458186
